lat_deg,lon_deg,status_id,report_date,source,water_source_clean,water_tech_clean,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,clean_adm4,activity_id,scheme_id,wpdx_id,install_year,installer,rehab_year,rehabilitator,management_clean,pay_clean,status_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality,notes,local_population,assigned_population,facility_type,water_source_category,water_tech_category,created_timestamp,dataset_title,rehab_priority,would_gain_access,usage_cap,criticality,pressure,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,is_urban,days_since_report,staleness,prediction_yes_0y,prediction_yes_2y,prediction_no_0y,prediction_no_2y,predicted_status_0y,predicted_status_2y,predicted_category,water_point_age,target,status_binary
0.3466448,34.4944188,Yes,2021-02-04,USAID/KEA KIWASH,Undefined Well,Public Tapstand,KEN,Kenya,Kakamega,Mumias West,Mumias North,,kakamegamapping-96QEEF,,6GGP8FWV+MQ3,2008.0,,,,Private Operator/Delegated Management,,"Functional, not in use",,,"Yes, the water is treated and safe for drinking",,6888.0,339.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.0492160278745644,1.13,446.34963173143456,2620.148269662899,589.7279825719153,29300.352500797268,1288.0179692307267,False,1767,57.293574177382766,,,,,,,,13.0,0,0
0.0686581201,34.7007695998,Yes,2013-02-12,Evidence Action,Protected Well,,KEN,Kenya,Vihiga,Vihiga,Lugaga-Wamuluma,,,,6GGP3P92+F86,2014.0,,,,,,Non-Functional,,,,Wamuluma,4263.0,194.0,Improved,Well,,2020-09-30T17:46:39,Evidence Action_Kenya_2012-2016,,,300.0,0.04550785831574,0.6466666666666666,12575.754418248402,3301.3110688270544,2459.7845380992703,19880.862257983343,3160.894623760994,False,4681,22.866140360310247,,,,,,,,0.0,1,0
0.1960166692733764,34.48297882080078,Yes,2024-11-01,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Butere,Marama South,,10350583,,6GGP5FWM+959,1996.0,,,,,,Non-Functional,,,,Muluhokho,3491.0,229.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.0655972500716127,0.7633333333333333,9483.232908843152,5285.022241923337,890.177364785843,31252.11031377214,2806.8966576100124,False,401,88.12618391945199,,,,,,,,28.0,1,0
0.5249249935150146,34.7474250793457,Yes,2023-03-11,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Lugari,Chevaywa,,10260271,,6GGPGPFW+XX7,1996.0,,,,,,Non-Functional,,,,,2339.0,254.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1085934159897392,0.8466666666666667,21077.0745493446,15329.921135952964,6937.013352599768,26719.060065625108,9448.612752829578,False,1002,72.91734698362832,,,,,,,,27.0,1,0
0.8588799834251404,34.8657341003418,Yes,2024-01-22,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Trans Nzoia,Kiminini,Sikhendu,,10460487,,6GGPVV58+H75,2007.0,,,,,,Non-Functional,,,,,2065.0,1432.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.6934624697336562,4.773333333333333,22363.50679304068,487.1773181559387,5178.554361717157,49547.04149989008,18584.904148625912,False,685,80.5798927488781,,,,,,,,17.0,1,0
0.4100933372974396,34.423587799072266,Yes,2023-11-16,Evidence Action,Borehole/Tubewell,,KEN,Kenya,Kakamega,Matungu,Koyonzo,,10560110,,6GGPCC6F+2CP,1996.0,,,,,,Non-Functional,,,,,1892.0,280.0,Improved,Well,,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1479915433403805,0.9333333333333332,1144.4552569648524,1361.030495399709,4954.08963582858,37620.38955524531,5843.002752929286,False,752,78.89594756251714,,,,,,,,27.0,1,0
-1.099143385887146,34.498748779296875,Yes,2023-11-15,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Migori,Suna East,Suna Central,,10320433,,6GCPWF2X+8FX,2011.0,,,,,,Non-Functional,,,,,1492.0,435.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.2915549597855228,1.45,55017.7051302242,1739.1261869464597,1970.4016507259305,56166.7962477641,5074.661046322669,False,753,78.87108243808355,,,,,,,,12.0,1,0
-1.1276156079,34.4832521363,Yes,2014-11-09,Evidence Action,Protected Well,,KEN,Kenya,Migori,Kuria West,Masaba,,,,6GCPVFCM+X82,2011.0,,,,,,Non-Functional,,,,Kewambasa Spring,1441.0,964.0,Improved,Well,,2020-09-30T17:46:39,Evidence Action_Kenya_2012-2016,,,300.0,0.6689798750867453,3.2133333333333334,58577.04464867056,1059.8495222665838,799.7393024673504,59750.32042445183,6996.716496251066,False,4046,27.933246411369623,,,,,,,,3.0,1,0
0.1138107,34.5565579,Yes,2024-01-15,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Khwisero,Kisa Central,,10120386,,6GGP4H74+GJF,1996.0,,,,,,Non-Functional,,,,,3602.0,498.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1382565241532481,1.66,3059.12941200477,1462.6125110808402,8672.809426042775,28547.078990955644,7618.402367511817,False,692,80.40228984365748,,,,,,,,28.0,1,0
-1.9846552,37.4827287,Yes,2021-02-04,USAID/KEA KIWASH,Borehole/Tubewell,,KEN,Kenya,Makueni,Makueni,Mbitini,,Makueni Enumerator-96MJJF,,6GCV2F8M+43Q,2011.0,Other (please specify),,,Other,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",,941.0,388.0,Improved,Well,,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.412327311370882,1.2933333333333332,11658.093171405946,4567.854807685294,7049.352082488036,56628.21854913821,10784.419547660384,False,1767,57.293574177382766,,,,,,,,10.0,0,0
0.1086218,34.3065068,Yes,2023-11-22,Evidence Action,Borehole/Tubewell,,KEN,Kenya,Siaya,Alego Usonga,North Alego,,10241435,,6GGP4854+CJR,2010.0,,,,,,Non-Functional,,,,,1519.0,694.0,Improved,Well,,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.45687952600395,2.313333333333333,5621.55993549483,1305.875338306303,4177.800011667139,46407.75519238397,5836.55031211503,False,746,79.04530301570809,,,,,,,,13.0,1,0
-0.6795707,34.8370923,Yes,2021-01-29,USAID/KEA KIWASH,Protected Well,Public Tapstand,KEN,Kenya,Nyamira,Kitutu Masaba,Kemera,,Nyamira-Enumerator-968CR4,,6GFP8RCP+5RG,2007.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",,2268.0,362.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.1596119929453262,1.2066666666666668,3592.4985118257623,1250.1012979547388,1771.1661187832951,7795.040041874653,14445.407174473336,False,1773,57.18531843782933,,,,,,,,14.0,0,0
0.4380366802215576,34.19621276855469,Yes,2023-10-30,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Busia,Matayos,Busibwabo,,10050158,,6GGPC5QW+6F8,2005.0,,,,,,Non-Functional,,,,,1826.0,344.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1883899233296823,1.1466666666666667,3518.319581136898,6133.841096642144,3647.213543800662,12213.703559079688,9911.722182894744,False,769,78.4743045444247,,,,,,,,18.0,1,0
0.2598633468151092,34.76631164550781,Yes,2023-02-11,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Lurambi,Shirere,,10161715,,6GGP7Q58+WGV,1996.0,,,,,,Non-Functional,,,,,8045.0,1082.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1344934742075823,3.6066666666666665,2822.565646926349,4212.931578895737,915.8809181023704,3164.3166930202224,4857.50351325734,False,1030,72.27661242123074,,,,,,,,27.0,1,0
-1.7954957,37.2630061,Yes,2021-02-09,USAID/KEA KIWASH,Sand or Sub-surface Dam,Public Tapstand,KEN,Kenya,Makueni,Kilome,Kiima Kiu/Kalanzoni,,Makueni Enumerator-975S8G,,6GCV6737+R62,2011.0,,,,Community Management,,"Functional, needs repair",,,"No, the water is not treated and safe for drinking",,301.0,133.0,Improved,Sand or Sub-surface Dam,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,,0.4418604651162791,,28757.76163724309,6607.19116178004,2018.8648118038925,30326.968338334016,32092.269380561287,False,1762,57.3839438252179,,,,,,,,10.0,0,0
0.1656166613101959,34.8988151550293,Yes,2023-02-11,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Vihiga,Hamisi,Shiru,,10230540,,6GGP5V8X+6GW,2014.0,,,,,,Non-Functional,,,,,3207.0,555.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1730589335827876,1.85,20647.468242378596,992.1771155139028,5797.354770078658,21065.655228479176,14774.2409131533,False,1030,72.27661242123074,,,,,,,,9.0,1,0
0.0261566676199436,34.727821350097656,Yes,2023-10-30,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Vihiga,Hamisi,Jepkoyai,,10230036,,6GGP2PGH+F48,2014.0,,,,,,Non-Functional,,,,,3602.0,387.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1074403109383675,1.29,11620.316923708877,2037.134817258029,2477.8361312603024,14569.98246368856,2500.8847675507127,False,769,78.4743045444247,,,,,,,,9.0,1,0
0.3972449898719787,34.59514617919922,Yes,2024-12-01,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Navakholo,Bunyala West,,10560041,,6GGP9HWW+V3R,1996.0,,,,,,Non-Functional,,,,,1501.0,456.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.3037974683544304,1.52,8909.317192263834,6346.970515411667,4984.862494237244,21351.63295464056,8933.390441870542,False,371,88.96349271621075,,,,,,,,28.0,1,0
-0.6849645,34.8100352,Yes,2021-02-03,USAID/KEA KIWASH,Protected Well,Public Tapstand,KEN,Kenya,Kisii,Nyaribari Chache,Bobaracho,,Nyamira-Enumerator-96MAS8,,6GFP8R86+227,2014.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, needs repair",,,"No, the water is not treated and safe for drinking",,3234.0,509.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.1573902288188002,1.6966666666666668,2078.7357064863954,997.6227710601912,1609.9085253626383,5006.524607436108,11459.333150905151,False,1768,57.2755173329544,,,,,,,,7.0,0,0
0.2016225291,34.5801271991,Yes,2023-11-23,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Butere,Marama North,,10160508,,6GGP6H2J+J3R,1996.0,,,,,,Non-Functional,,,,,1893.0,141.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.0744849445324881,0.47,11350.686620092947,3945.556501153024,2806.809598274137,20956.0345914375,3720.470965443966,False,745,79.07022306542238,,,,,,,,27.0,1,0
0.197546554,34.4882765934,Yes,2014-02-09,Evidence Action,Protected Well,,KEN,Kenya,Kakamega,Butere,Marama South,,,,6GGP5FXQ+286,1996.0,,,,,,Non-Functional,,,,Eshiabachere Spring,3464.0,223.0,Improved,Well,,2020-09-30T17:46:39,Evidence Action_Kenya_2012-2016,,,300.0,0.0643764434180138,0.7433333333333333,9971.00424834196,4679.987964630088,399.9473225820639,30638.94836653053,2346.6296672778662,False,4319,25.630022169479265,,,,,,,,18.0,1,0
-2.7026825,37.444218,Yes,2012-10-27,Virtual Kenya,Protected Well,Hand Pump - Rope,KEN,Kenya,Kajiado,Kajiado South,Kimana,,kjd 1054,,6G9V7CWV+WMG,2008.0,,,,Community Management,No payment,"Functional, not in use",,,Safe -Crisp and clear,,114.0,36.0,Improved,Well,,2020-08-07T18:06:14,"Virtual Kenya_Busia, Kajiado, Kiambu, Kisumu_2012",,,300.0,0.3157894736842105,0.12,7629.136160324789,5391.869377902932,25329.529069127093,72300.6873135608,1887.6541634438088,False,4789,22.10080878897568,,,,,,,,4.0,0,0
0.207833333,34.50233333,Yes,2014-12-03,Living Water International,Borehole/Tubewell,Hand Pump - India Mark,KEN,Kenya,Kakamega,Butere,Marama Central,,KE140123LOI001005GEC,,6GGP6G52+4WP,2014.0,,,,,,Non-Functional,,,,,4503.0,240.0,Improved,Well,Hand Pump,2020-07-21T20:01:34,Living Water International_Africa Latin America_Oct2013-Sep2016,,,300.0,0.0532978014656895,0.8,11839.428529083983,2789.547078712461,775.5336773689243,28805.14833920593,1047.395845201032,False,4022,28.145366021537093,,,,,,,,0.0,1,0
0.7929921557,34.9164590443,Yes,2015-10-03,Evidence Action,Protected Well,,KEN,Kenya,Bungoma,Tongaren,Tongaren,,,,6GGPQWV8+5HW,2006.5,,,,,,Non-Functional,,,,Kanali Spring,1261.0,362.0,Improved,Well,,2020-09-30T17:46:39,Evidence Action_Kenya_2012-2016,,,300.0,0.2870737509912767,1.2066666666666668,26366.06883160723,4315.598548705264,4855.615275125239,49745.54786382009,22271.967466684,False,3718,30.975839645870398,,,,,,,,8.5,1,0
-0.033333,34.8035,Yes,2021-03-11,Living Water International,Rainwater Harvesting,,KEN,Kenya,Kisumu,Kisumu East,Kajulu,,5155,,6GFPXR83+MC6,2009.0,,,,,,Non-Functional,,,,KE160628LWI002005LSC,6314.0,4486.0,Improved,Rainwater Harvesting,,2022-09-21T14:07:25,Living Water International_Global_September2022,,,50.0,0.7104846373139057,89.72,6506.076824451417,1864.194787114476,1127.3287933175409,9451.860475163005,6332.184567801657,False,1732,57.92916295102826,,,,,,,,12.0,1,0
-0.150987,34.21637632,Yes,2021-02-05,USAID/KEA KIWASH,Undefined Well,Public Tapstand,KEN,Kenya,Siaya,Bondo,South Sakwa,,Siaya-enumerators-96T2SW,,6GFPR6X8+JH2,2012.0,Other (please specify),,,Private Operator/Delegated Management,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",,667.0,363.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.5442278860569715,1.21,36024.865583906685,5229.302080262026,1037.7484524333236,60103.85144734068,8586.01376586033,False,1766,57.3116367144639,,,,,,,,9.0,0,0
-0.2186189,34.8997107,Yes,2021-02-01,USAID/KEA KIWASH,Borehole/Tubewell,Hand Pump - Afridev,KEN,Kenya,Kisumu,Nyando,Ahero,,Kisumu_Enumerator-96G7YS,,6GFPQVJX+HVW,2013.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,No payment,"Functional, not in use",,,"Yes, the water is treated and safe for drinking",,3595.0,349.0,Improved,Well,Hand Pump,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.0970792767732962,1.163333333333333,6311.970674351199,9363.752573984675,4941.529546917065,20643.664582898084,5543.666378256257,False,1770,57.23942071487996,,,,,,,,8.0,0,0
-0.674142,37.646458,No,2012-05-22,Virtual Kenya,Borehole/Tubewell,Hand Pump - Afridev,KEN,Kenya,Embu,Mbeere South,Mavuria,,embu_water_points2.133,,6GFV8JGW+8HW,1991.0,,,,,,Non-Functional,,,unspecified,,1857.0,420.0,Improved,Well,Hand Pump,2020-08-07T17:46:54,Virtual Kenya_Embu Kenya_2013-2014,420.0,0.0,300.0,0.2261712439418416,1.4,170.63472298208282,16830.018260908066,320.6592373046968,25805.998718575414,22238.743071217297,False,4947,21.02706715945492,,,,,,,,21.0,1,0
0.230633333,34.114355,Yes,2021-02-08,USAID/KEA KIWASH,Borehole/Tubewell,,KEN,Kenya,Busia,Funyula,Ageng'A Nanguba,,maurice-972P27,,6GGP64J7+7P5,2005.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, not in use",,,"Yes, the water is treated and safe for drinking",,936.0,241.0,Improved,Well,,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.2574786324786324,0.8033333333333333,12799.387947916764,2849.2086851471327,5391.3247408342895,26334.692499225075,12661.005022594303,False,1763,57.36585849957334,,,,,,,,16.0,0,0
-1.6298687,36.820354,Yes,2012-12-18,Virtual Kenya,Borehole/Tubewell,Hand Pump - Rope,KEN,Kenya,Kajiado,Kajiado East,Kaputiei North,,Kjd 526,,6GCR9RCC+345,2005.0,,,,Private Operator/Delegated Management,,Functional,,,Safe -Crisp and clear,,125.0,117.0,Improved,Well,,2020-08-07T18:06:14,"Virtual Kenya_Busia, Kajiado, Kiambu, Kisumu_2012",,,300.0,0.936,0.39,32322.24208215543,747.08299172925,6960.774463836366,38328.55858258634,6859.49964427753,False,4737,22.46605022184842,,,,,,,,7.0,0,0
0.11517987,34.06926797,Yes,2021-02-13,USAID/KEA KIWASH,Undefined Well,Public Tapstand,KEN,Kenya,Busia,Budalangi,Bunyala Central,,Shikuku-enumerator-97GN5A,,6GGP4389+3PF,1999.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, needs repair",,,"No, the water is not treated and safe for drinking",,1812.0,193.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.1065121412803532,0.6433333333333333,23027.063203942256,690.1224301284827,1213.0717027160192,39038.076578205386,23353.828835520984,False,1758,57.45634216209222,,,,,,,,22.0,0,0
-1.2310733795166016,34.673919677734375,Yes,2023-11-17,Evidence Action,Borehole/Tubewell,Public Tapstand,KEN,Kenya,Migori,Kuria East,Nyabasi East,,10320558,,6GCPQM9F+CGQ,2019.0,,,,Community Management,,Non-Functional,,,"Yes, the water is treated and safe for drinking",,2059.0,2012.0,Improved,Well,Public Tapstand,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.9771733851384168,6.706666666666667,57920.71874332125,3937.208795775343,3887.2198004243446,62978.31907947334,7580.948391131505,False,751,78.92082052600142,,,,,,,,4.0,1,0
-1.9006925,37.1897733,Yes,2021-02-04,USAID/KEA KIWASH,Borehole/Tubewell,,KEN,Kenya,Makueni,Kilome,Kiima Kiu/Kalanzoni,,Makueni Enumerator-96QSAQ,,6GCV35XQ+PWC,2011.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, needs repair",,,"No, the water is not treated and safe for drinking",,225.0,205.0,Improved,Well,,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.9111111111111112,0.6833333333333333,38656.06841413976,9401.995597751158,706.3281270499193,42807.87601705025,37578.99277959299,False,1767,57.293574177382766,,,,,,,,10.0,0,0
0.270731657743454,34.8272705078125,Yes,2023-04-12,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Kakamega,Shinyalu,Isukha Central,,10162501,,6GGP7RCG+7WR,1996.0,,,,,,Non-Functional,,,,,2830.0,462.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1632508833922261,1.54,8184.945888228222,7317.137628497579,3346.69565258918,8713.161605946629,8933.275819671248,False,970,73.6565732505423,,,,,,,,27.0,1,0
-1.0737518072128296,34.4974250793457,Yes,2023-11-15,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Migori,Suna East,Suna Central,,10320399,,6GCPWFGW+FXV,2011.0,,,,,,Non-Functional,,,,,2414.0,1001.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.4146644573322287,3.3366666666666664,52876.3256557678,4402.2718373965445,828.5221069873885,53894.49964563876,3520.799236056269,False,753,78.87108243808355,,,,,,,,12.0,1,0
-2.11249,37.8073433,No,2021-02-04,USAID/KEA KIWASH,Sand or Sub-surface Dam,Public Tapstand,KEN,Kenya,Makueni,Kibwezi West,Makindu,,Makueni Enumerator-96PX7Q,,6G9VVRQ4+2W4,2020.0,,,,Community Management,,Non-Functional,,,"Yes, the water is treated and safe for drinking",,82.0,82.0,Improved,Sand or Sub-surface Dam,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,82.0,33.42544174194336,,1.0,,29554.544874455896,4364.9689401307805,11823.647383908989,85700.70506361095,18642.332087600764,False,1767,57.293574177382766,,,,,,,,1.0,1,0
